Model,BLEU-1,BLEU-2,BLEU-3,BLEU-4
Model 1: ResNet50 + LSTM,0.5085299381517357,0.32295430126411734,0.19845236751460693,0.11898734185160385
Model 2: ResNet50 + LSTM + Attention + Beam Search,0.5669776447808484,0.3699181972085094,0.24248856616115005,0.1579803910924147
