Model,Encoder,Decoder,Attention,Decoding,Train loss,Validation loss,Training time,BLEU-1,BLEU-2,BLEU-3,BLEU-4,Comments
Model 1,ResNet50 global feature,LSTM,No,Greedy,3.307884334513557,3.487972119512026,23.7 min,0.5085299381517357,0.32295430126411734,0.19845236751460693,0.11898734185160385,My baseline model uses a single image representation.
Model 2,ResNet50 spatial features,LSTMCell,Bahdanau-style additive attention,"Beam search, width 5",3.0011412111141866,3.4991350375237373,45.0 min,0.5669776447808484,0.3699181972085094,0.24248856616115005,0.1579803910924147,My refined model uses attention plus beam search decoding.
